Gene,Category,Tissue bias,KW p-value,Max delta,Highest in,Lowest in,GBM,BRCA,COAD,LUAD,PRAD,LAML,FDR,Significant
HOXA5,Tissue-specific TF,Breast,0.0063,0.405,LAML,GBM,0.469,0.549,0.509,0.65,0.619,0.874,0.0225,True
CDH1,Tumor suppressor,Epithelial,0.0011,0.277,LAML,COAD,0.522,0.363,0.307,0.364,0.356,0.583,0.0138,True
RARB,Other,,0.2282,0.265,PRAD,BRCA,0.288,0.246,0.283,0.362,0.51,0.283,0.2593,False
CDX2,Tissue-specific TF,Colon,0.0299,0.259,BRCA,COAD,0.209,0.362,0.102,0.318,0.345,0.197,0.0575,False
GSTP1,Cancer biomarker,Prostate,0.0506,0.222,PRAD,COAD,0.239,0.357,0.152,0.191,0.374,0.281,0.0791,False
PCSK9,Metabolism,Liver/Pan-cancer,0.0019,0.197,LAML,COAD,0.542,0.495,0.369,0.428,0.444,0.566,0.015,True
APC,Tumor suppressor,Colon,0.0265,0.196,COAD,GBM,0.152,0.289,0.348,0.267,0.322,0.183,0.0552,False
GATA4,Tissue-specific TF,GI/Cardiac,0.1064,0.188,COAD,GBM,0.407,0.508,0.596,0.461,0.466,0.445,0.133,False
VIM,Cancer biomarker,Mesenchymal,0.0029,0.18,PRAD,GBM,0.088,0.243,0.234,0.116,0.268,0.105,0.015,True
SHOX2,Cancer biomarker,Lung,0.0167,0.175,BRCA,LAML,0.279,0.35,0.258,0.328,0.278,0.175,0.0452,True
NKX2-1,Tissue-specific TF,Lung,0.0399,0.174,BRCA,LUAD,0.153,0.243,0.18,0.069,0.132,0.223,0.0665,False
PAX6,Tissue-specific TF,Brain,0.0598,0.171,COAD,PRAD,0.399,0.422,0.444,0.374,0.273,0.278,0.0831,False
BRCA1,Tumor suppressor,Breast,0.0347,0.154,GBM,PRAD,0.499,0.43,0.382,0.408,0.346,0.491,0.062,False
RUNX1,Hematopoietic TF,Blood,0.003,0.15,PRAD,LAML,0.433,0.427,0.382,0.413,0.476,0.326,0.015,True
CD274,Immune checkpoint,Pan-cancer,0.0005,0.147,LAML,COAD,0.104,0.14,0.052,0.058,0.115,0.199,0.0125,True
SFRP1,Tumor suppressor,Breast/Colon,0.0957,0.138,GBM,BRCA,0.558,0.419,0.528,0.438,0.533,0.479,0.1259,False
CDKN2A,Cell cycle,Pan-cancer,0.0213,0.109,COAD,BRCA,0.117,0.071,0.18,0.098,0.11,0.087,0.0484,True
MGMT,Cancer biomarker,Brain,0.011,0.089,LAML,COAD,0.796,0.774,0.743,0.802,0.799,0.832,0.0344,True
TET2,Epigenetic,Blood,0.0181,0.078,PRAD,LAML,0.362,0.349,0.355,0.347,0.39,0.313,0.0452,True
SEPT9,Cancer biomarker,Colon,0.3722,0.056,GBM,BRCA,0.568,0.512,0.547,0.545,0.548,0.56,0.4046,False
PARP1,DNA repair,Brain,0.4034,0.049,GBM,LAML,0.456,0.445,0.441,0.438,0.433,0.407,0.4202,False
MLH1,Tumor suppressor,Colon,0.1191,0.041,BRCA,GBM,0.151,0.193,0.169,0.162,0.153,0.168,0.1418,False
RB1,Tumor suppressor,Pan-cancer,0.4515,0.041,LUAD,LAML,0.366,0.342,0.359,0.372,0.37,0.331,0.4515,False
KRAS,Signaling,Pan-cancer,0.0054,0.034,LAML,COAD,0.105,0.11,0.093,0.12,0.107,0.127,0.0225,True
PTEN,Tumor suppressor,Pan-cancer,0.0565,0.015,BRCA,LAML,0.039,0.047,0.041,0.04,0.036,0.032,0.0831,False
