gene,wg_pval,promo_pval,better
CDX2,0.02986716772352137,0.16595061089243154,Whole-gene
HOXA5,0.006309265854865552,0.007072423581310725,Whole-gene
PCSK9,0.0018614042465398902,0.0029969557135850733,Whole-gene
VIM,0.0029447878903012766,0.001247641981946819,Promoter
RARB,0.22823367705654846,0.3325463689277889,Whole-gene
GATA4,0.10641763603490258,0.025287695995548053,Promoter
SHOX2,0.016719542591949216,0.0011642537375837268,Promoter
SFRP1,0.0956750853270612,0.030422378968054355,Promoter
APC,0.026460220046390197,0.026460220046390197,Whole-gene
GSTP1,0.05061786346246574,0.0042987594683688264,Promoter
CDH1,0.0010887858141442554,0.001907301488925797,Whole-gene
PAX6,0.05979550037539804,0.10541544604456385,Whole-gene
NKX2-1,0.03986609831906575,0.32616881369357326,Whole-gene
RUNX1,0.0030433443144301277,0.013692328104892897,Whole-gene
BRCA1,0.03466422708556344,0.029022700705127052,Promoter
SEPT9,0.3722294131931861,0.39484164381225256,Whole-gene
MGMT,0.01098633828582837,0.27297701887903614,Whole-gene
CD274,0.00053768075411802,0.00053768075411802,Whole-gene
PARP1,0.40341281255111894,0.004628821484374582,Promoter
TET2,0.018103150196900737,0.01576589801531186,Promoter
MLH1,0.1191399421810436,0.11649007392768153,Promoter
RB1,0.45149658480863397,0.02635151193498963,Promoter
KRAS,0.005376498294209151,0.005376498294209151,Whole-gene
PTEN,0.05646341194292278,0.05646341194292278,Whole-gene
